type,timestamp,medad,severity
EXTREME_TEMPORAL,0.9676333333333333,20.0,3.3333333333333335
EXTREME_TEMPORAL,1.1678333333333333,19.0,3.1666666666666665
EXTREME_TEMPORAL,1.5015,19.0,3.1666666666666665
EXTREME_TEMPORAL,1.7350666666666668,18.0,3.0
EXTREME_TEMPORAL,1.7684333333333335,19.0,3.1666666666666665
EXTREME_TEMPORAL,1.9019000000000001,18.0,3.0
EXTREME_TEMPORAL,69.00226666666667,30.0,5.0
EXTREME_TEMPORAL,149.08226666666667,55.0,9.166666666666666
EXTREME_TEMPORAL,153.6535,42.0,7.0
EXTREME_TEMPORAL,194.86133333333333,23.0,3.8333333333333335
EXTREME_TEMPORAL,235.13490000000002,19.0,3.1666666666666665
EXTREME_TEMPORAL,268.3681,53.0,8.833333333333334
EXTREME_TEMPORAL,275.0414333333334,95.0,15.833333333333334
SCENE_CHANGE,275.0414333333334,0.0,0.38991055623638343
EXTREME_TEMPORAL,294.36073333333337,26.0,4.333333333333333
EXTREME_TEMPORAL,300.46683333333334,72.0,12.0
SCENE_CHANGE,300.46683333333334,0.0,0.41214823325163397
EXTREME_TEMPORAL,303.2696333333333,83.0,13.833333333333334
SCENE_CHANGE,303.2696333333333,0.0,0.3693631365740741
EXTREME_TEMPORAL,451.5511,18.0,3.0
EXTREME_TEMPORAL,456.7896666666667,18.0,3.0
EXTREME_TEMPORAL,457.19006666666667,18.0,3.0
EXTREME_TEMPORAL,479.64583333333337,50.0,8.333333333333334
EXTREME_TEMPORAL,501.36753333333337,27.0,4.5
EXTREME_TEMPORAL,520.8870333333333,255.0,42.5
SCENE_CHANGE,520.8870333333333,0.0,0.9883934334150327
EXTREME_TEMPORAL,521.2540666666667,133.0,22.166666666666668
SCENE_CHANGE,521.2540666666667,0.0,0.49323080065359476
EXTREME_TEMPORAL,521.6544666666667,124.0,20.666666666666668
SCENE_CHANGE,521.6544666666667,0.0,0.4600329180283224
EXTREME_TEMPORAL,522.0882333333334,96.0,16.0
SCENE_CHANGE,522.0882333333334,0.0,0.3846337145969499
EXTREME_TEMPORAL,522.3885333333334,128.0,21.333333333333332
SCENE_CHANGE,522.3885333333334,0.0,0.46272916666666664
EXTREME_TEMPORAL,522.7222,27.0,4.5
EXTREME_TEMPORAL,523.1226,26.0,4.333333333333333
EXTREME_TEMPORAL,523.9234,34.0,5.666666666666667
EXTREME_TEMPORAL,530.6968333333333,46.0,7.666666666666667
EXTREME_TEMPORAL,533.5663666666667,45.0,7.5
EXTREME_TEMPORAL,538.6047333333333,53.0,8.833333333333334
SCENE_CHANGE,538.6047333333333,0.0,0.3800675381263617
EXTREME_TEMPORAL,626.626,95.0,15.833333333333334
SCENE_CHANGE,626.626,0.0,0.38378407543572984
EXTREME_TEMPORAL,659.1918666666667,98.0,16.333333333333332
SCENE_CHANGE,659.1918666666667,0.0,0.3897320772058823
EXTREME_TEMPORAL,675.1077666666667,44.0,7.333333333333333
EXTREME_TEMPORAL,677.3767,38.0,6.333333333333333
EXTREME_TEMPORAL,700.9669333333334,32.0,5.333333333333333
EXTREME_TEMPORAL,822.5884333333333,45.0,7.5
EXTREME_TEMPORAL,822.7886333333333,18.0,3.0
EXTREME_TEMPORAL,892.8586333333334,247.0,41.166666666666664
SCENE_CHANGE,892.8586333333334,0.0,0.7293657066993464
EXTREME_TEMPORAL,894.3601333333334,227.0,37.833333333333336
SCENE_CHANGE,894.3601333333334,0.0,0.6968770595043573
EXTREME_TEMPORAL,902.6684333333334,23.0,3.8333333333333335
EXTREME_TEMPORAL,949.6820666666667,62.0,10.333333333333334
EXTREME_TEMPORAL,952.9853666666667,61.0,10.166666666666666
EXTREME_TEMPORAL,1081.7807,19.0,3.1666666666666665
EXTREME_TEMPORAL,1135.5677666666668,65.0,10.833333333333334
EXTREME_TEMPORAL,1156.0882666666666,176.0,29.333333333333332
SCENE_CHANGE,1156.0882666666666,0.0,0.6032144778050109
EXTREME_TEMPORAL,1573.4051666666667,18.0,3.0
EXTREME_TEMPORAL,1575.5406333333335,22.0,3.6666666666666665
EXTREME_TEMPORAL,1642.3073333333334,43.0,7.166666666666667
EXTREME_TEMPORAL,1642.3407,30.0,5.0
EXTREME_TEMPORAL,1642.3740666666667,33.0,5.5
EXTREME_TEMPORAL,1642.4074333333333,35.0,5.833333333333333
EXTREME_TEMPORAL,1642.4408,34.0,5.666666666666667
EXTREME_TEMPORAL,1642.5075333333334,42.0,7.0
EXTREME_TEMPORAL,1642.9079333333334,27.0,4.5
EXTREME_TEMPORAL,1766.6982666666668,131.0,21.833333333333332
SCENE_CHANGE,1766.6982666666668,0.0,0.5652528084150327
EXTREME_TEMPORAL,1772.1036666666666,69.0,11.5
EXTREME_TEMPORAL,1905.5369666666668,55.0,9.166666666666666
