channel,file,width,height,source_fps,duration_sec,p25_medad,p50_medad,p75_medad,p90_medad,p95_medad,p99_medad,max_medad,iqr,changed_pixel_pct,mean_changed_pixel_pct,candidate_scene_changes,candidate_scene_rate_per_min,burstiness_p90_p50,tail_fraction_above_p75,tail_intensity,temporal_burst_score,model_a_p50,model_b_p90,model_c_robust,rtci_absolute,analysis_fps_effective,sample_count,processing_time_sec,p50_dataset_norm,p90_dataset_norm,iqr_dataset_norm,changed_dataset_norm,burst_dataset_norm,scene_dataset_norm,rtci_dataset,model_c_dataset
tv1,videos\tv1.mp4,1920,1080,25.0,765.24,0.0,1.0,1.0,3.0,4.0,7.0,129.0,1.0,7.257644107205088,7.257644107205088,66,5.174847106790027,2.9999999969999998,0.2285938316779927,4.064029266459638,0.1858024044143021,1.0,3.0,0.02000548429284155,0.15655650576615887,25.0,19130,303.2788603999652,0.5,0.42857142857142855,0.3333333333333333,0.2574837751894632,0.5999999993999999,0.2690102848016772,0.4162378803828729,0.4300681836093212
tv17,videos\tv17.mp4,1920,1080,30.0,6019.633333333333,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,2.612295633838412,2.612295633838412,14,0.13954338304104902,0.0,0.009845615434026624,5.0,0.009845615434026624,0.0,0.0,0.005224591267676824,0.005313877281168108,30.0,180588,2225.9055886999704,0.0,0.0,0.0,0.054980455853950255,0.0,0.0,0.008247068378092538,0.010996091170790052
tv2,videos\tv2.mp4,752,360,30.0,5906.733333333334,0.0,0.0,1.0,2.0,3.0,12.0,171.0,1.0,6.090086753611986,6.090086753611986,730,7.415266193383822,5.0,0.10543958555538625,5.0,0.10543958555538625,0.0,2.0,0.014533114683694559,0.23544465480935423,30.0,177201,919.5761930998415,0.0,0.2857142857142857,0.3333333333333333,0.20658678845687542,1.0,0.38870431114552995,0.32700130652594145,0.12703164340566078
tv3,videos\tv3.mp4,1920,1080,25.0,456.0,1.0,1.0,2.0,3.0,5.0,16.0,67.0,1.0,14.181234221325456,14.181234221325456,12,1.5789473684210527,2.9999999969999998,0.14790771120273707,5.0,0.14790771120273707,1.0,3.0,0.033852664521082286,0.13098289355364967,25.0,11399,157.18958230037242,0.5,0.42857142857142855,0.3333333333333333,0.5593018170148149,0.5999999993999999,0.07689992447237082,0.442299550623745,0.4904317919743915
tv4,videos\tv4.mp4,1920,1080,29.97002997002997,1991.6563333333334,0.0,0.0,0.0,1.0,2.0,5.0,255.0,0.0,1.3510650648570088,1.3510650648570088,30,0.9037703793944369,5.0,0.1498266012163045,5.0,0.1498266012163045,0.0,1.0,0.003878600717949312,0.16184861511672008,29.97002997002997,59689,1561.9824035000056,0.0,0.14285714285714285,0.0,0.0,1.0,0.040828703335712445,0.18265429890499982,0.04285714285714285
tv5,videos\tv5.mp4,1920,1080,25.0,5033.56,0.0,0.0,1.0,1.0,2.0,46.0,122.0,1.0,7.04739227869143,7.04739227869143,1582,18.857428936975023,5.0,0.09602822676774901,5.0,0.09602822676774901,0.0,1.0,0.015271255145618156,0.261943637437645,25.0,125838,3664.9717633998953,0.0,0.14285714285714285,0.3333333333333333,0.24831832863265843,1.0,1.0,0.36581917786632734,0.09252080858367454
tv7,videos\tv7.mp4,1920,1080,25.0,1768.64,1.0,2.0,3.0,6.0,9.0,26.0,147.0,2.0,19.28109740559074,19.28109740559074,365,12.382395512936494,2.9999999985,0.2168268687097139,4.465448000270666,0.19364582145694842,2.0,6.0,0.04954258696804422,0.22676478331828806,25.0,44215,678.9171130997129,1.0,0.8571428571428571,0.6666666666666666,0.7816186634024939,0.5999999997,0.6540723894597347,0.794078609839919,0.9134665898233559
tv8,videos\tv8.mp4,1920,1080,50.0,494.16,1.0,2.0,4.0,7.0,8.0,20.0,71.0,3.0,24.29068150477392,24.29068150477392,56,6.799417192812044,3.49999999825,0.2088561483040557,4.246220928109447,0.17736986957860235,2.0,7.0,0.06073822575464589,0.2186458804072911,25.0,12353,266.3024193001911,1.0,1.0,1.0,1.0,0.6999999996499999,0.35580267817009253,0.8905802677645093,1.0
