rank,channel,v9_fusion,adci_temporal,adci_spatial,bdi,class,regime
1,tv3,0.45623739094824534,0.4322255147378824,0.37360830184231675,0.3684567004574195,Moderate,HEAVY-TAIL-RISK
2,tv17,0.45159124816793267,0.3,0.4488199711551673,0.3460662773301252,Moderate,HEAVY-TAIL-RISK
3,tv1,0.4362472054580182,0.4487829759781702,0.3309375474130789,0.38725053200616666,Moderate,HEAVY-TAIL-RISK
4,tv2,0.42227685091054756,0.4248381690386101,0.37008092894066813,0.42444933558651915,Moderate,HEAVY-TAIL-RISK
5,tv5,0.3734435344042456,0.3517943977605913,0.33118332670011835,0.36190204981868224,Moderate,SPARSE-EXTREME
6,tv4,0.27726220309986843,0.22883993482687684,0.3143287233433329,0.30623174783801466,Low,SPARSE-EXTREME
