channel,duration,samples,p10,p50,p75,p90,p95,p99,p99_5,p99_9,iqr,changed_pct,scene_changes,scene_per_min,temporal_adci,spatial_adci,v9_fusion,bdi,regime,class
tv1,765.24,19130,0.0,1.0,1.0,3.0,4.0,7.0,9.0,56.61300000000847,1.0,8.988977146497648,3,0.2352203230359103,0.4487829759781702,0.3309375474130789,0.4362472054580182,0.38725053200616666,HEAVY-TAIL-RISK,Moderate
tv17,6019.633333333333,150490,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,3.3988777487752966,2,0.019934769005864144,0.3,0.4488199711551673,0.45159124816793267,0.3460662773301252,HEAVY-TAIL-RISK,Moderate
tv2,5906.733333333334,147667,0.0,0.0,1.0,2.0,4.0,16.0,34.0,73.0,1.0,7.769878166161579,88,0.8938951027640771,0.4248381690386101,0.37008092894066813,0.42227685091054756,0.42444933558651915,HEAVY-TAIL-RISK,Moderate
tv3,456.0,11399,0.0,1.0,2.0,3.0,5.0,16.0,23.0,34.20400000000154,1.0,15.864138910820637,0,0.0,0.4322255147378824,0.37360830184231675,0.45623739094824534,0.3684567004574195,HEAVY-TAIL-RISK,Moderate
tv4,1991.6563333333334,49790,0.0,0.0,0.0,1.0,2.0,6.0,8.0,19.0,0.0,2.241282588259579,15,0.45188518969721847,0.22883993482687684,0.3143287233433329,0.27726220309986843,0.30623174783801466,SPARSE-EXTREME,Low
tv5,5033.56,125838,0.0,0.0,1.0,1.0,2.0,46.0,54.0,71.0,1.0,8.168193069081543,26,0.30991981818037334,0.3517943977605913,0.33118332670011835,0.3734435344042456,0.36190204981868224,SPARSE-EXTREME,Moderate
