timestamp,medad,si,changed_pct,scene_score,texture
0.04,0.0,50.46518325805664,8.52126736111111,0.00880771718409586,1155.8262234998913
0.08,0.0,52.89033508300781,8.286024305555555,0.009069052968409586,1195.919652098931
0.12000000000000001,0.0,55.69055938720703,8.94704861111111,0.010410317946623093,1182.4408093124391
0.16,0.0,58.31526565551758,8.524739583333334,0.010070414624183005,1246.365086604347
0.2,0.0,59.4786262512207,8.45703125,0.010069257216775599,1222.825294863383
0.24000000000000002,1.0,60.9173469543457,9.796875,0.01171086941721133,1256.6418972999668
0.28,0.0,61.20946502685547,8.500868055555555,0.010244195942265794,1282.9595394238884
0.32,0.0,61.36568069458008,9.54079861111111,0.011405160675381264,1221.2440103346084
0.36000000000000004,0.0,60.992095947265625,9.036458333333334,0.01113182529956427,1240.15827570392
0.4,1.0,62.46622085571289,9.513020833333332,0.011698393246187364,1268.4661474789466
0.44000000000000006,1.0,61.61128234863281,9.315972222222223,0.011330882352941175,1249.5518420090664
0.48000000000000004,0.0,61.6087646484375,0.0,0.00034034586056644876,1249.0445777343748
0.52,0.0,61.38468933105469,9.263020833333334,0.01028344566993464,1245.3232110021333
0.56,0.0,59.5158576965332,8.860677083333334,0.009060134123093682,1121.3632547444472
0.6000000000000001,1.0,59.399993896484375,8.756944444444445,0.011383867783224401,1188.4063186136882
0.64,0.0,58.47666549682617,7.330295138888888,0.007425125953159042,1046.1748956738884
0.68,0.0,59.305450439453125,6.742187500000001,0.006984323937908497,1166.5570654531218
0.7200000000000001,0.0,58.23078536987305,7.46875,0.0076748536220043575,1011.1391448564696
0.76,0.0,59.119140625,7.745225694444445,0.0077892327069716775,1150.0149383101098
0.8,0.0,58.05784606933594,6.711805555555555,0.007322099673202615,994.7866038139439
0.8400000000000001,0.0,59.01924133300781,7.762152777777779,0.007947593273420478,1134.538499169451
0.8800000000000001,0.0,57.945919036865234,8.172743055555555,0.008697065631808278,979.6263727789232
0.92,1.0,59.127384185791016,8.026475694444445,0.010873127723311548,1131.143509604202
0.9600000000000001,0.0,59.07060623168945,6.763454861111111,0.006609511165577342,1128.2564863957723
1.0,1.0,60.2706413269043,10.74826388888889,0.01352056100217865,1217.056226604019
1.04,0.0,59.04338073730469,7.078559027777779,0.007240842864923747,1057.8333617473838
1.08,0.0,60.02036666870117,7.70703125,0.007610481345315904,1209.306308829583
1.12,0.0,59.096622467041016,6.853298611111111,0.007331001497821351,1067.3479138598784
1.1600000000000001,0.0,59.98989486694336,7.561631944444444,0.007733728213507625,1199.2638569552762
1.2000000000000002,0.0,58.97871017456055,7.642795138888888,0.007956835511982572,1052.7410927010242
1.24,0.0,59.832611083984375,7.503038194444445,0.007873723447712418,1180.434354479453
1.28,0.0,58.984283447265625,6.689670138888888,0.007430470452069717,1062.6424701376834
