segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,changed_pct,rtci,burst_score,tail_score,extreme_score,adim_sustained,adim_dynamic,adim_risk,spatial_adim,scene_activity,texture,spatial_score,temporal_score,v9_fusion,adci_temporal,adci_spatial,bdi,regime,class
0,0.0,5.0,2.0,4.0,5.0,106.72515869140625,109.54356079101562,30.675378724238353,0.29375,0.2,0.125,0.1,0.5218749999507812,0.2422222222222222,0.17012104118648166,0.3948196242812046,0.04338967691971502,1404.590590730563,0.2383282479161388,0.2549035209639231,0.40461309741254126,0.31847034011649566,0.3948196242812046,0.24814751371568547,BURST-DOMINATED,Moderate
1,5.0,10.0,2.0,3.0,5.760000000000005,96.8771743774414,107.87226257324218,30.451298611111113,0.2660444444444443,0.15,0.14400000000000013,0.8680555555555548,0.6374999999319444,0.1225,0.6105600509489701,0.38729735412951394,0.04996357706971677,1058.9844675444206,0.24940271453584834,0.4159186221520833,0.4930606256388721,0.4491680152608716,0.38729735412951394,0.3226572453514965,HEAVY-TAIL-RISK,Moderate
2,10.0,15.0,4.0,5.0,5.0,93.5406494140625,97.97513427734376,31.488322916666664,0.4806250000000001,0.125,0.0625,0.12,0.764999999951,0.13874999999999998,0.08558139534883721,0.38523398863279373,0.04986244961873638,971.0459529078375,0.22988641241626742,0.21425603196902668,0.41814268089966256,0.34198691858750113,0.38523398863279373,0.21250935666714274,LOW-COMPLEXITY,Moderate
3,15.0,20.0,3.0,5.0,5.760000000000005,98.8961410522461,101.43749542236328,29.009697916666667,0.37648333333333317,0.16666666666666669,0.09600000000000009,0.8854166666666659,0.5824999999615,0.14681818181818182,0.3745549738219896,0.4167700381337912,0.0449744044117647,956.1156373971278,0.27434619281441364,0.3145035726974108,0.45195785304985114,0.36762785576948553,0.4167700381337912,0.2840536269690508,LOW-COMPLEXITY,Moderate
4,20.0,25.0,4.0,7.6000000000000085,9.0,73.98184967041016,84.60241241455078,34.33883680555556,0.31291301169590646,0.19000000000000022,0.1125,0.3555555555555555,0.5263157894494455,0.22219230769230813,0.4276891427725411,0.3731517320139979,0.051423193218954236,524.0562390017208,0.2373215276637778,0.3594828793289586,0.4405032289910511,0.3902845768313761,0.3731517320139979,0.2992504093142155,LOW-COMPLEXITY,Moderate
5,25.0,30.0,3.0,3.0,3.0,89.16558837890625,97.42652435302735,29.760024305555554,0.5658333333333333,0.1,0.05,1.0,0.9708333332263889,0.19045454545454543,0.08270000000000001,0.4201867987000196,0.04802660525599129,856.4432324345711,0.2865532985416877,0.2664909772558835,0.4729817179435817,0.431260757538327,0.4201867987000196,0.26379218723972886,LOW-COMPLEXITY,Moderate
6,30.0,35.0,5.0,13.0,15.0,72.03197479248047,89.28374481201172,39.38271180555555,0.3003205128205128,0.26,0.15,0.27999999999999997,0.39807692306553255,0.2817272727272727,0.4541012012949275,0.3961188785191569,0.057143914079520707,619.1918403669948,0.28674182170550894,0.3750350015824785,0.43139153212251635,0.37416182891596006,0.3961188785191569,0.3338752258419032,BURST-DOMINATED,Moderate
7,35.0,40.0,3.0,4.0,5.0,73.88422393798828,76.42729339599609,25.049944444444446,0.37083333333333335,0.13333333333333333,0.08333333333333334,0.1,0.7281249999398438,0.15636363636363634,0.2063039576136981,0.38594594822506395,0.03426693613834424,536.4393555642769,0.22860595644153647,0.26814009087066587,0.43803138176961964,0.3714622099903275,0.38594594822506395,0.24116397751683294,LOW-COMPLEXITY,Moderate
8,40.0,45.0,4.0,5.0,6.0,64.65296936035156,73.55061492919921,26.88482986111111,0.4158333333333333,0.125,0.075,0.5333333333333333,0.799999999944,0.13124999999999998,0.3873703296703297,0.3739155422263388,0.038559293572984744,507.8009368077528,0.23780218568955502,0.3479904683977734,0.4752239219344836,0.44214859888149893,0.3739155422263388,0.2826686294158115,LOW-COMPLEXITY,Moderate
9,45.0,50.0,4.0,6.0,6.0,67.9900894165039,84.78666381835939,31.43309027777778,0.43208333333333326,0.15,0.075,0.9,0.652083333296875,0.15916666666666665,0.08710706150341686,0.4892422918141399,0.043151122957516344,565.0406837888015,0.40724066753407157,0.2054551134149108,0.42012210811764705,0.3100696184382646,0.4892422918141399,0.2812102245468565,LOW-COMPLEXITY,Moderate
10,50.0,55.0,4.0,6.0,8.0,103.21974182128906,115.82246398925781,36.37239930555555,0.3358333333333333,0.15,0.1,0.7625,0.6666666666277777,0.165,0.5117187437953131,0.3777164114601968,0.056778787173202616,879.6116733739791,0.2451494590192375,0.3948351535448362,0.4797379804912927,0.44459895645831615,0.3777164114601968,0.31406173138581894,LOW-COMPLEXITY,Moderate
11,55.0,60.0,6.0,8.0,36.880000000000194,83.9473876953125,113.36297454833986,40.09554861111112,0.1982782357194503,0.13333333333333333,0.30733333333333496,0.1382863340563984,0.7390624999685547,0.12420289855072464,0.14798556305147684,0.34821965925465337,0.06421224782135077,772.0858671638314,0.24403636019178515,0.23138874483186006,0.3961080770560521,0.3465385583971908,0.34821965925465337,0.22684965134725016,SPARSE-EXTREME,Moderate
12,60.0,65.0,5.0,11.0,12.0,74.4035415649414,83.32425537109376,40.70305555555556,0.31769696969696976,0.22000000000000003,0.12,0.375,0.4704545454386364,0.23754545454545453,0.402733274179237,0.373941122428695,0.058321346541394335,598.1911858146582,0.23347550624886515,0.34608533790182605,0.42785706747245267,0.3686199822482029,0.373941122428695,0.2927988008958664,BURST-DOMINATED,Moderate
13,65.0,70.0,1.0,5.0,13.04000000000002,92.43324279785156,93.5338134765625,19.134725694444445,0.30114355828220873,0.5,0.652000000000001,0.3067484662576682,0.234999999979,0.4783333333333334,0.42369950057545697,0.45132325686334807,0.025551263888888887,770.9643095009075,0.31240362431436675,0.4162426160803496,0.44537751172226425,0.3767765168319538,0.45132325686334807,0.3823913854637907,SPARSE-EXTREME,Moderate
14,70.0,75.0,1.0,3.6000000000000085,4.0,90.37517547607422,94.07199096679688,24.397687500000004,0.27277777777777795,0.3600000000000009,0.2,0.1,0.3020833332995749,0.3496000000000006,0.14181660777385158,0.37835325881776855,0.03471493532135077,918.5331109171595,0.22053585405405093,0.2517303493763087,0.36174549877886764,0.2706341489870069,0.37835325881776855,0.25096302806126486,SPARSE-EXTREME,Moderate
15,75.0,80.0,6.0,7.0,8.0,90.22074890136719,93.94249877929688,42.42094097222221,0.44273809523809526,0.11666666666666667,0.06666666666666667,0.1,0.8571428570999999,0.060833333333333336,0.11814321883236191,0.3892035484003826,0.05815240944989107,1485.649842246323,0.23520381201392873,0.21118188351866074,0.43558770521901136,0.35673463230137514,0.3892035484003826,0.20568653189171027,LOW-COMPLEXITY,Moderate
16,80.0,85.0,3.0,6.0,8.0,94.50576782226562,100.85953369140626,34.20756597222223,0.3075,0.2,0.13333333333333333,0.1,0.5145833333017361,0.25115384615384617,0.10202898550724637,0.39273351203349627,0.05656893232570806,1060.4859280735402,0.2463793317096578,0.22777467599836793,0.3877590595590922,0.2986167084616277,0.39273351203349627,0.23881476805668558,BURST-DOMINATED,Moderate
17,85.0,90.0,7.0,8.0,8.0,91.08036804199219,95.170361328125,44.80025694444444,0.49964285714285717,0.11428571428571428,0.05714285714285714,0.1125,0.8749999999617187,0.10714285714285714,0.08140350877192981,0.3957602150791696,0.07297003417755991,984.6654492614388,0.24593374901103865,0.21688374059547444,0.4401783215969908,0.36817105261818045,0.3957602150791696,0.21708547389617744,LOW-COMPLEXITY,Moderate
18,90.0,95.0,5.0,7.0,8.760000000000005,87.93614196777344,97.76963653564454,39.530763888888885,0.36209955642530967,0.13999999999999999,0.08760000000000005,0.1027397260273972,0.71428571425,0.153,0.10120063355684161,0.37595306898354264,0.058936501497821356,823.9598310245261,0.2378315198296879,0.21886977559160112,0.4057595243313754,0.33391019005455247,0.37595306898354264,0.22037342121846593,LOW-COMPLEXITY,Moderate
19,95.0,100.0,1.0,6.0,15.52000000000001,123.88529205322266,128.00486450195314,23.31595833333333,0.34861649484536084,0.6,0.7760000000000005,0.10953608247422672,0.21041666664965278,0.43999999999999995,0.16205275784115195,0.4154446385235507,0.0343955029956427,1103.19284878783,0.2784052166416079,0.2829335746582214,0.3694424273055381,0.276261660679724,0.4154446385235507,0.2989542119230274,SPARSE-EXTREME,Moderate
20,100.0,105.0,1.0,2.0,6.0,117.18540954589844,123.88368225097656,19.74339236111111,0.22833333333333333,0.2,0.3,0.13333333333333333,0.543749999890625,0.236,0.22987517886569764,0.38909643642955305,0.033555830610021785,1109.7273773247819,0.23743105862345146,0.2818063277893519,0.41506359148471983,0.341875053621428,0.38909643642955305,0.260194954053844,SPARSE-EXTREME,Moderate
21,105.0,110.0,1.0,2.0,7.52000000000001,103.85051727294922,107.72129516601562,19.576854166666667,0.22288936170212764,0.2,0.3760000000000005,0.10638297872340412,0.543749999890625,0.236,0.3155713421236387,0.4001625523671053,0.02915706644880174,808.2413168454643,0.24756854038796677,0.3190841588065563,0.436952339096942,0.36758390259881035,0.4001625523671053,0.28301265210468257,SPARSE-EXTREME,Moderate
