type,timestamp,medad,severity
EXTREME_TEMPORAL,28.8,186.0,186.0
SCENE_CHANGE,28.8,0.0,0.6622305964052287
EXTREME_TEMPORAL,29.4,4.0,4.0
EXTREME_TEMPORAL,29.466666666666665,49.0,49.0
EXTREME_TEMPORAL,29.5,5.0,5.0
EXTREME_TEMPORAL,29.53333333333333,6.0,6.0
EXTREME_TEMPORAL,29.566666666666666,3.0,3.0
EXTREME_TEMPORAL,29.599999999999998,4.0,4.0
EXTREME_TEMPORAL,29.666666666666668,17.0,17.0
EXTREME_TEMPORAL,29.7,5.0,5.0
EXTREME_TEMPORAL,29.733333333333334,6.0,6.0
EXTREME_TEMPORAL,29.766666666666666,7.0,7.0
EXTREME_TEMPORAL,29.8,7.0,7.0
EXTREME_TEMPORAL,29.866666666666667,12.0,12.0
EXTREME_TEMPORAL,29.9,6.0,6.0
EXTREME_TEMPORAL,29.933333333333334,7.0,7.0
EXTREME_TEMPORAL,29.966666666666665,9.0,9.0
EXTREME_TEMPORAL,30.0,5.0,5.0
EXTREME_TEMPORAL,30.066666666666666,7.0,7.0
EXTREME_TEMPORAL,30.099999999999998,3.0,3.0
EXTREME_TEMPORAL,30.166666666666668,3.0,3.0
EXTREME_TEMPORAL,30.2,8.0,8.0
EXTREME_TEMPORAL,30.266666666666666,15.0,15.0
EXTREME_TEMPORAL,30.866666666666667,3.0,3.0
EXTREME_TEMPORAL,30.966666666666665,4.0,4.0
EXTREME_TEMPORAL,31.0,5.0,5.0
EXTREME_TEMPORAL,31.066666666666666,19.0,19.0
EXTREME_TEMPORAL,31.099999999999998,8.0,8.0
EXTREME_TEMPORAL,31.133333333333333,12.0,12.0
EXTREME_TEMPORAL,31.166666666666668,15.0,15.0
EXTREME_TEMPORAL,31.2,20.0,20.0
EXTREME_TEMPORAL,31.266666666666666,53.0,53.0
EXTREME_TEMPORAL,31.3,25.0,25.0
EXTREME_TEMPORAL,31.333333333333332,23.0,23.0
EXTREME_TEMPORAL,31.366666666666667,28.0,28.0
EXTREME_TEMPORAL,31.4,27.0,27.0
EXTREME_TEMPORAL,31.466666666666665,48.0,48.0
EXTREME_TEMPORAL,31.5,19.0,19.0
EXTREME_TEMPORAL,31.53333333333333,24.0,24.0
EXTREME_TEMPORAL,31.566666666666666,21.0,21.0
EXTREME_TEMPORAL,31.599999999999998,13.0,13.0
EXTREME_TEMPORAL,31.666666666666668,26.0,26.0
EXTREME_TEMPORAL,31.7,3.0,3.0
EXTREME_TEMPORAL,31.733333333333334,10.0,10.0
EXTREME_TEMPORAL,31.766666666666666,7.0,7.0
EXTREME_TEMPORAL,31.8,9.0,9.0
EXTREME_TEMPORAL,31.866666666666667,10.0,10.0
EXTREME_TEMPORAL,31.9,6.0,6.0
EXTREME_TEMPORAL,31.933333333333334,6.0,6.0
EXTREME_TEMPORAL,31.966666666666665,5.0,5.0
EXTREME_TEMPORAL,32.0,5.0,5.0
EXTREME_TEMPORAL,32.06666666666666,24.0,24.0
EXTREME_TEMPORAL,32.1,20.0,20.0
EXTREME_TEMPORAL,32.13333333333333,16.0,16.0
EXTREME_TEMPORAL,32.166666666666664,14.0,14.0
EXTREME_TEMPORAL,32.2,7.0,7.0
EXTREME_TEMPORAL,32.266666666666666,19.0,19.0
EXTREME_TEMPORAL,32.3,15.0,15.0
EXTREME_TEMPORAL,32.333333333333336,15.0,15.0
EXTREME_TEMPORAL,32.36666666666667,8.0,8.0
EXTREME_TEMPORAL,32.4,17.0,17.0
EXTREME_TEMPORAL,32.46666666666667,10.0,10.0
EXTREME_TEMPORAL,32.5,5.0,5.0
EXTREME_TEMPORAL,32.53333333333333,4.0,4.0
EXTREME_TEMPORAL,32.56666666666666,4.0,4.0
EXTREME_TEMPORAL,32.6,7.0,7.0
EXTREME_TEMPORAL,32.666666666666664,9.0,9.0
EXTREME_TEMPORAL,32.7,5.0,5.0
EXTREME_TEMPORAL,32.733333333333334,7.0,7.0
EXTREME_TEMPORAL,32.766666666666666,11.0,11.0
EXTREME_TEMPORAL,32.8,12.0,12.0
EXTREME_TEMPORAL,32.86666666666667,11.0,11.0
EXTREME_TEMPORAL,32.9,4.0,4.0
EXTREME_TEMPORAL,32.93333333333333,7.0,7.0
EXTREME_TEMPORAL,32.96666666666667,4.0,4.0
EXTREME_TEMPORAL,33.0,5.0,5.0
EXTREME_TEMPORAL,33.06666666666666,7.0,7.0
EXTREME_TEMPORAL,33.1,6.0,6.0
EXTREME_TEMPORAL,33.13333333333333,4.0,4.0
EXTREME_TEMPORAL,33.2,3.0,3.0
EXTREME_TEMPORAL,33.266666666666666,56.0,56.0
EXTREME_TEMPORAL,33.3,9.0,9.0
EXTREME_TEMPORAL,33.333333333333336,8.0,8.0
EXTREME_TEMPORAL,33.36666666666667,10.0,10.0
EXTREME_TEMPORAL,33.4,9.0,9.0
EXTREME_TEMPORAL,33.46666666666667,13.0,13.0
EXTREME_TEMPORAL,33.53333333333333,4.0,4.0
EXTREME_TEMPORAL,33.56666666666666,7.0,7.0
EXTREME_TEMPORAL,33.666666666666664,25.0,25.0
EXTREME_TEMPORAL,33.7,15.0,15.0
EXTREME_TEMPORAL,33.733333333333334,12.0,12.0
EXTREME_TEMPORAL,33.766666666666666,5.0,5.0
EXTREME_TEMPORAL,33.86666666666667,4.0,4.0
EXTREME_TEMPORAL,33.96666666666667,26.0,26.0
EXTREME_TEMPORAL,34.0,20.0,20.0
EXTREME_TEMPORAL,34.06666666666666,18.0,18.0
EXTREME_TEMPORAL,34.1,8.0,8.0
EXTREME_TEMPORAL,34.13333333333333,8.0,8.0
EXTREME_TEMPORAL,34.166666666666664,4.0,4.0
EXTREME_TEMPORAL,34.266666666666666,5.0,5.0
EXTREME_TEMPORAL,34.3,6.0,6.0
EXTREME_TEMPORAL,34.333333333333336,24.0,24.0
EXTREME_TEMPORAL,34.36666666666667,64.0,64.0
EXTREME_TEMPORAL,34.4,9.0,9.0
EXTREME_TEMPORAL,34.46666666666667,53.0,53.0
EXTREME_TEMPORAL,34.5,37.0,37.0
EXTREME_TEMPORAL,34.53333333333333,27.0,27.0
EXTREME_TEMPORAL,34.6,3.0,3.0
EXTREME_TEMPORAL,34.666666666666664,4.0,4.0
EXTREME_TEMPORAL,34.7,3.0,3.0
EXTREME_TEMPORAL,34.733333333333334,3.0,3.0
EXTREME_TEMPORAL,34.8,3.0,3.0
EXTREME_TEMPORAL,34.86666666666667,4.0,4.0
EXTREME_TEMPORAL,34.9,3.0,3.0
EXTREME_TEMPORAL,34.93333333333333,3.0,3.0
EXTREME_TEMPORAL,35.0,3.0,3.0
EXTREME_TEMPORAL,35.06666666666666,66.0,66.0
EXTREME_TEMPORAL,35.1,8.0,8.0
EXTREME_TEMPORAL,35.13333333333333,10.0,10.0
EXTREME_TEMPORAL,35.166666666666664,12.0,12.0
EXTREME_TEMPORAL,35.2,19.0,19.0
EXTREME_TEMPORAL,35.266666666666666,43.0,43.0
EXTREME_TEMPORAL,35.3,16.0,16.0
EXTREME_TEMPORAL,35.333333333333336,15.0,15.0
EXTREME_TEMPORAL,35.36666666666667,17.0,17.0
EXTREME_TEMPORAL,35.4,17.0,17.0
EXTREME_TEMPORAL,35.46666666666667,24.0,24.0
EXTREME_TEMPORAL,35.5,10.0,10.0
EXTREME_TEMPORAL,35.53333333333333,7.0,7.0
EXTREME_TEMPORAL,35.56666666666666,5.0,5.0
EXTREME_TEMPORAL,35.6,4.0,4.0
EXTREME_TEMPORAL,35.666666666666664,6.0,6.0
EXTREME_TEMPORAL,35.7,6.0,6.0
EXTREME_TEMPORAL,35.733333333333334,8.0,8.0
EXTREME_TEMPORAL,35.766666666666666,10.0,10.0
EXTREME_TEMPORAL,35.8,9.0,9.0
EXTREME_TEMPORAL,35.86666666666667,16.0,16.0
EXTREME_TEMPORAL,35.9,8.0,8.0
EXTREME_TEMPORAL,35.93333333333333,13.0,13.0
EXTREME_TEMPORAL,35.96666666666667,12.0,12.0
EXTREME_TEMPORAL,36.0,11.0,11.0
EXTREME_TEMPORAL,36.06666666666666,13.0,13.0
EXTREME_TEMPORAL,36.13333333333333,10.0,10.0
EXTREME_TEMPORAL,36.166666666666664,6.0,6.0
EXTREME_TEMPORAL,36.2,7.0,7.0
EXTREME_TEMPORAL,36.266666666666666,10.0,10.0
EXTREME_TEMPORAL,36.333333333333336,4.0,4.0
EXTREME_TEMPORAL,36.46666666666667,5.0,5.0
EXTREME_TEMPORAL,36.53333333333333,6.0,6.0
EXTREME_TEMPORAL,36.56666666666666,4.0,4.0
EXTREME_TEMPORAL,36.6,6.0,6.0
EXTREME_TEMPORAL,36.666666666666664,4.0,4.0
EXTREME_TEMPORAL,36.733333333333334,4.0,4.0
EXTREME_TEMPORAL,36.766666666666666,3.0,3.0
EXTREME_TEMPORAL,36.8,4.0,4.0
EXTREME_TEMPORAL,36.86666666666667,9.0,9.0
EXTREME_TEMPORAL,37.0,60.0,60.0
EXTREME_TEMPORAL,37.06666666666666,35.0,35.0
EXTREME_TEMPORAL,37.1,9.0,9.0
EXTREME_TEMPORAL,37.13333333333333,7.0,7.0
EXTREME_TEMPORAL,37.166666666666664,5.0,5.0
EXTREME_TEMPORAL,37.2,5.0,5.0
EXTREME_TEMPORAL,37.266666666666666,7.0,7.0
EXTREME_TEMPORAL,37.3,4.0,4.0
EXTREME_TEMPORAL,37.333333333333336,4.0,4.0
EXTREME_TEMPORAL,37.36666666666667,4.0,4.0
EXTREME_TEMPORAL,37.4,4.0,4.0
EXTREME_TEMPORAL,37.46666666666667,4.0,4.0
EXTREME_TEMPORAL,37.56666666666666,3.0,3.0
EXTREME_TEMPORAL,37.666666666666664,9.0,9.0
EXTREME_TEMPORAL,37.8,47.0,47.0
EXTREME_TEMPORAL,37.86666666666667,31.0,31.0
EXTREME_TEMPORAL,37.9,15.0,15.0
EXTREME_TEMPORAL,37.93333333333333,15.0,15.0
EXTREME_TEMPORAL,37.96666666666667,16.0,16.0
EXTREME_TEMPORAL,38.0,14.0,14.0
EXTREME_TEMPORAL,38.06666666666666,16.0,16.0
EXTREME_TEMPORAL,38.1,8.0,8.0
EXTREME_TEMPORAL,38.13333333333333,7.0,7.0
EXTREME_TEMPORAL,38.166666666666664,11.0,11.0
EXTREME_TEMPORAL,38.2,7.0,7.0
EXTREME_TEMPORAL,38.266666666666666,19.0,19.0
EXTREME_TEMPORAL,38.333333333333336,4.0,4.0
EXTREME_TEMPORAL,38.4,4.0,4.0
EXTREME_TEMPORAL,38.46666666666667,5.0,5.0
EXTREME_TEMPORAL,38.5,6.0,6.0
EXTREME_TEMPORAL,38.53333333333333,6.0,6.0
EXTREME_TEMPORAL,38.56666666666666,6.0,6.0
EXTREME_TEMPORAL,38.6,7.0,7.0
EXTREME_TEMPORAL,38.666666666666664,5.0,5.0
EXTREME_TEMPORAL,38.86666666666667,3.0,3.0
EXTREME_TEMPORAL,38.9,37.0,37.0
EXTREME_TEMPORAL,38.93333333333333,3.0,3.0
EXTREME_TEMPORAL,39.06666666666666,3.0,3.0
EXTREME_TEMPORAL,39.166666666666664,3.0,3.0
EXTREME_TEMPORAL,39.266666666666666,4.0,4.0
EXTREME_TEMPORAL,39.46666666666667,3.0,3.0
EXTREME_TEMPORAL,39.56666666666666,33.0,33.0
EXTREME_TEMPORAL,40.266666666666666,3.0,3.0
EXTREME_TEMPORAL,44.5,196.0,196.0
SCENE_CHANGE,44.5,0.0,0.6825782952069717
EXTREME_TEMPORAL,3830.133333333333,38.0,38.0
EXTREME_TEMPORAL,3830.866666666667,3.0,3.0
EXTREME_TEMPORAL,3830.9666666666667,3.0,3.0
EXTREME_TEMPORAL,3831.0,3.0,3.0
EXTREME_TEMPORAL,3831.0666666666666,3.0,3.0
EXTREME_TEMPORAL,3831.1,3.0,3.0
EXTREME_TEMPORAL,3831.1666666666665,3.0,3.0
EXTREME_TEMPORAL,3831.2666666666664,4.0,4.0
EXTREME_TEMPORAL,3831.2999999999997,3.0,3.0
EXTREME_TEMPORAL,3831.4,3.0,3.0
EXTREME_TEMPORAL,3831.4666666666667,4.0,4.0
EXTREME_TEMPORAL,3831.6,3.0,3.0
EXTREME_TEMPORAL,3831.6666666666665,4.0,4.0
EXTREME_TEMPORAL,3831.7,29.0,29.0
EXTREME_TEMPORAL,3831.7999999999997,3.0,3.0
EXTREME_TEMPORAL,3831.866666666667,5.0,5.0
