segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
0,0.0,5.0,0.0,1.0,31.389999999999972,57.762935638427734,104.83337097167968,107.49010124206544,0.08474395861335127,2.7680706065188168,0.010855178849093403,808.5607026073635,0.225,0.125,1.0,0.22300095571838185,0.4065390399532317,0.18000000000000002,0.3716468479181447,0.03101479671169544,0.0,0.3185615790557891,0.35750115731553145,SPARSE-EXTREME,Moderate
1,5.0,10.0,1.0,3.0,5.760000000000005,109.91314697265625,123.70812225341797,124.98941802978516,0.17060333333333338,6.561514826388889,0.02573143069172113,1691.606313752114,0.323,0.375,0.2400000000000002,1.0,0.5872089548222248,0.34640000000000004,0.3371067855090212,0.07351837340491753,0.3333333333333333,0.41620120327455395,0.4229665452315558,SPARSE-EXTREME,Moderate
2,10.0,15.0,1.0,3.0,38.20000000000023,94.85836029052734,122.50777740478516,123.53668640136719,0.17604399305555557,6.71001875,0.02631379901960784,1705.1337465551069,0.525,0.375,1.0,0.22578534031413477,0.5238491407822224,0.4575000000000001,0.39735753922345995,0.07518228291316525,0.6666666666666666,0.47127270297719576,0.4894349395989431,SPARSE-EXTREME,Moderate
3,15.0,20.0,0.0,1.0,45.8400000000003,57.452735900878906,145.3597412109375,145.99248779296875,0.09329239583333335,4.954112465277778,0.019427892020697165,1018.3763294652899,0.225,0.125,1.0,0.18542757417102845,0.335043570741687,0.18000000000000002,0.1810368361707424,0.05550826291627762,0.0,0.2553056044936652,0.281251330582047,SPARSE-EXTREME,Low
4,20.0,25.0,1.0,3.0,5.0,76.07130432128906,141.97828979492186,142.24394897460937,0.2401169791666667,10.035802534722224,0.0393560883714597,1447.9524464882606,0.31666666666666665,0.375,0.20833333333333334,1.0,0.39858679036654665,0.34291666666666665,0.36122775881879643,0.11244596677559915,0.3333333333333333,0.3755767949405672,0.3667205992900635,SPARSE-EXTREME,Moderate
5,25.0,30.0,2.0,4.0,5.0,73.41083526611328,84.13279113769532,87.35737915039063,0.26298552083333326,8.875800451388889,0.03480706059368192,1113.276521483533,0.34375,0.25,0.15625,1.0,0.5788183093139767,0.3015625,0.4644333144813976,0.0994487445533769,0.25,0.4125206350081123,0.4292194355192095,BURST-DOMINATED,Moderate
6,30.0,35.0,5.0,11.600000000000009,15.0,70.20083618164062,84.48744659423828,85.21650604248048,0.31833624999999993,10.127946041666668,0.03971743545751634,1483.719034180217,0.4136034482758618,0.2900000000000002,0.16163793103448265,0.31666666666666665,0.555063041789266,0.3579818965517241,0.43198555170540337,0.11347838702147527,0.8620689655172408,0.4161884719224402,0.436678906840347,BURST-DOMINATED,Moderate
7,35.0,40.0,1.0,3.0,5.760000000000005,70.533935546875,72.03118896484375,72.59825317382813,0.18869333333333332,6.4982596875,0.02548337132352941,377.2043761540349,0.323,0.375,0.2400000000000002,0.17361111111111097,0.6383392565594046,0.34640000000000004,0.28357560364397083,0.07280963235294118,0.3333333333333333,0.38470131099211496,0.43748739988230095,SPATIAL-HEAVY,Moderate
8,40.0,45.0,2.0,3.0,6.0,64.66404724121094,68.99130554199219,70.18257049560548,0.21015451388888892,7.2044759722222205,0.028252846949891067,313.2500373018721,0.4375,0.1875,0.25,0.125,0.614781900159586,0.32500000000000007,0.3187391806788781,0.08072241985683162,0.3333333333333333,0.35528592323045816,0.4019995849319836,SPATIAL-HEAVY,Moderate
9,45.0,50.0,0.0,1.0,6.0,86.43740844726562,92.55762329101563,93.23900604248047,0.1531998263888889,4.916242847222223,0.019279383714596948,799.8391454638024,0.325,0.125,0.75,0.7916666666666666,0.6126767177024219,0.23500000000000001,0.3511653800168951,0.055083953470276996,1.0,0.42684453972379155,0.41611031593306835,SPATIAL-HEAVY,Moderate
10,50.0,55.0,1.0,1.0,2.0,111.27152252197266,112.02588195800782,113.28221099853516,0.12427114583333333,4.183417152777779,0.016405557461873638,2290.4407814318524,0.525,0.125,0.25,1.0,0.646381854480664,0.3450000000000001,0.37628100175454193,0.04687302131963897,0.0,0.41340975132218405,0.46176858905243323,SPATIAL-HEAVY,Moderate
11,55.0,60.0,2.0,3.0,5.0,112.7236099243164,116.80853881835938,117.71171203613281,0.23902607638888887,8.796626006944445,0.03449657257625272,2349.6769910532216,0.4791666666666667,0.1875,0.20833333333333334,1.0,0.6302947382970581,0.34791666666666665,0.3688010890429011,0.09856163593215064,0.6666666666666666,0.4251114316602279,0.42063035859460124,SPATIAL-HEAVY,Moderate
