timestamp,medad,si,motion_occupancy,motion_magnitude,scene_activity,texture,segment
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0
0.52,26.0,5.744696617126465,1.0,27.674774305555555,0.10852852668845316,3.4317404509179386,0
0.56,33.0,12.837682723999023,1.0,34.397799479166665,0.13489333129084966,18.95716138592002,0
0.6,23.0,17.302410125732422,0.9999826388888889,23.855342881944445,0.09355036424291939,37.51939669142357,0
0.64,16.0,21.614871978759766,0.9990972222222222,17.120651041666665,0.06713980800653595,67.93647569323882,0
0.68,11.0,26.751312255859375,0.8299956597222222,12.6708984375,0.04968979779411765,110.16129336630739,0
0.72,7.0,32.14524459838867,0.38447916666666665,7.952717013888889,0.03118712554466231,165.46539053789306,0
0.76,4.0,38.00867462158203,0.3596267361111111,6.165659722222222,0.024179057734204795,239.38494481148425,0
0.8,5.0,44.74043655395508,0.0873828125,4.695377604166667,0.018413245506535947,349.1482391342163,0
0.84,8.0,51.46271514892578,0.42855902777777777,7.217165798611111,0.028302610974945533,479.90605693834095,0
0.88,9.0,57.44736862182617,0.5128081597222223,8.877217881944444,0.03481261914488017,600.5987978104014,0
0.92,0.0,57.67995071411133,0.010716145833333333,0.6310112847222222,0.002474554057734205,609.6768746741778,0
0.96,0.0,57.74223709106445,0.011032986111111111,0.7648871527777777,0.002999557461873638,605.3251179822946,0
1.0,0.0,57.62321090698242,0.014422743055555555,0.7389713541666667,0.0028979268790849675,594.160181114291,0
1.04,0.0,57.45005416870117,0.009774305555555555,0.7239192708333333,0.0028388991013071894,590.6933462815273,0
1.08,0.0,57.568389892578125,0.012881944444444444,0.7359982638888889,0.0028862677015250543,601.7998862075617,0
1.12,0.0,57.567535400390625,0.008815104166666667,0.6994748263888889,0.0027430385348583878,603.4042204693642,0
1.16,0.0,57.613094329833984,0.01513888888888889,0.8168967013888889,0.0032035164760348587,606.9570334200636,0
1.2,0.0,57.643402099609375,0.013276909722222223,0.7284201388888889,0.0028565495642701526,613.1909861834304,0
1.24,0.0,57.616607666015625,0.016167534722222224,0.8533723958333334,0.00334655841503268,611.3391879935372,0
1.28,0.0,57.644020080566406,0.008637152777777778,0.6985026041666667,0.0027392258986928104,614.8985739003874,0
1.32,0.0,57.59452438354492,0.014296875,0.7502777777777778,0.002942265795206972,612.2723731553066,0
1.36,0.0,57.3611946105957,0.011875,0.7268880208333334,0.002850541258169935,598.8561466037326,0
1.4000000000000001,0.0,57.466922760009766,0.011575520833333333,0.7387934027777778,0.0028972290305010894,601.9254440495808,0
1.44,0.0,57.81325912475586,0.012061631944444444,0.7161501736111111,0.0028084320533769062,618.1344138046264,0
1.48,0.0,57.82666015625,0.013997395833333334,0.821484375,0.0032215073529411765,618.3973654498631,0
1.52,0.0,57.78687286376953,0.014288194444444444,0.7741449652777778,0.003035862608932462,620.5059288085938,0
1.56,0.0,57.61653137207031,0.014105902777777778,0.7793446180555555,0.0030562534041394334,616.9375477272127,0
1.6,0.0,57.65198516845703,0.011944444444444445,0.7615364583333334,0.002986417483660131,628.0802082823955,0
1.6400000000000001,0.0,57.60563659667969,0.015243055555555555,0.76921875,0.0030165441176470587,619.7374216940797,0
1.68,0.0,57.57644271850586,0.01421875,0.7716970486111111,0.0030262629357298474,611.0240928819255,0
1.72,0.0,57.711265563964844,0.013763020833333334,0.8119965277777778,0.0031843001089324617,613.7746527729552,0
1.76,0.0,57.88532638549805,0.014184027777777778,0.7748654513888888,0.0030386880446623093,628.2290798246407,0
1.8,0.0,57.69359588623047,0.015620659722222222,0.8594140625,0.003370251225490196,626.1104684965159,0
1.84,0.0,57.65797424316406,0.01170138888888889,0.6692664930555555,0.002624574482570806,628.8941487988884,0
1.8800000000000003,0.0,57.5637092590332,0.011571180555555555,0.7425303819444444,0.0029118838507625274,621.5109070230931,0
1.92,0.0,57.504329681396484,0.0141015625,0.8033029513888889,0.0031502076525054463,616.5370138888135,0
1.96,0.0,57.6130256652832,0.014131944444444445,0.7786935763888889,0.0030537002995642704,617.7972525471816,0
2.0,0.0,57.596832275390625,0.012734375,0.7827387152777778,0.003069563589324619,608.8162919677734,0
2.04,0.0,57.746421813964844,0.01138888888888889,0.6965798611111111,0.0027316857298474947,618.5810397855781,0
2.08,0.0,57.587398529052734,0.013233506944444445,0.7489409722222222,0.002937023420479303,610.7010322174449,0
2.12,0.0,57.56020736694336,0.013272569444444444,0.7837760416666667,0.0030736315359477127,608.5934808755757,0
2.16,0.0,57.669681549072266,0.0084375,0.6249131944444445,0.0024506399782135077,617.1415835426425,0
2.2,0.0,57.710723876953125,0.014895833333333334,0.8562065972222223,0.0033576729302832245,619.9649184563531,0
2.24,0.0,57.74542236328125,0.014249131944444444,0.7669357638888888,0.003007591230936819,622.7912844340007,0
2.2800000000000002,0.0,57.53489685058594,0.013953993055555556,0.76203125,0.002988357843137255,610.673290002592,0
2.32,0.0,57.47414779663086,0.011341145833333333,0.7569791666666666,0.0029685457516339868,603.5872338016463,0
2.36,0.0,57.65900802612305,0.01689236111111111,0.8412586805555555,0.0032990536492374725,612.6245680180115,0
2.4,0.0,57.61732864379883,0.011532118055555556,0.7149522569444444,0.0028037343409586055,608.5996087232801,0
2.44,0.0,57.78966522216797,0.013068576388888888,0.7788845486111111,0.0030544492102396515,612.9543531139798,0
2.48,0.0,57.9495964050293,0.01349826388888889,0.7405512152777778,0.0029041224128540303,624.2852991046481,0
2.52,0.0,57.8726806640625,0.009813368055555556,0.7072265625,0.0027734375000000003,616.8815060447222,0
2.56,0.0,57.77640151977539,0.012083333333333333,0.7518923611111111,0.002948597494553377,617.6472699040733,0
2.6,0.0,57.739906311035156,0.013962673611111111,0.7693923611111111,0.003017224945533769,616.6160372260013,0
2.64,0.0,57.73627853393555,0.014231770833333334,0.7796050347222222,0.003057274645969499,615.8694178583593,0
2.68,0.0,57.99994659423828,0.013302951388888888,0.7215364583333334,0.0028295547385620914,623.8606156104569,0
2.72,0.0,57.96910858154297,0.01296875,0.7721137152777777,0.0030278969226579517,618.5338102322048,0
2.7600000000000007,0.0,57.910911560058594,0.016315104166666667,0.8529166666666667,0.0033447712418300654,619.1349648193359,0
2.8000000000000003,0.0,57.9582405090332,0.013914930555555555,0.7400043402777777,0.002901977805010893,625.9518568702227,0
2.84,0.0,57.859535217285156,0.012404513888888889,0.7549913194444444,0.0029607502723311544,618.3384752792358,0
2.88,0.0,57.82866668701172,0.012855902777777779,0.7648611111111111,0.002999455337690632,619.6851251069811,0
2.92,0.0,57.85951232910156,0.013177083333333334,0.7227387152777778,0.00283426947167756,618.005267881869,0
2.96,0.0,57.792518615722656,0.012057291666666666,0.7654904513888889,0.0030019233387799564,611.96505711685,0
3.0,0.0,57.94633865356445,0.0130859375,0.7669618055555556,0.003007693355119826,617.1707516140219,0
3.04,0.0,57.80020523071289,0.013871527777777778,0.7875347222222222,0.003088371459694989,611.5143516355726,0
3.08,0.0,57.725921630859375,0.013250868055555556,0.7986024305555556,0.003131774237472767,611.8626123069291,0
3.12,0.0,57.762611389160156,0.012196180555555556,0.6956770833333333,0.002728145424836601,617.8925558200224,0
