type,timestamp,medad,severity
EXTREME_TEMPORAL,145.06666666666666,50.0,3.125
EXTREME_TEMPORAL,212.86666666666667,63.0,3.9375
EXTREME_TEMPORAL,216.20000000000002,54.0,3.375
EXTREME_TEMPORAL,251.46666666666667,60.0,3.75
EXTREME_TEMPORAL,267.5,62.0,3.875
EXTREME_TEMPORAL,279.2666666666667,48.0,3.0
EXTREME_TEMPORAL,286.7,71.0,4.4375
SCENE_CHANGE,286.7,0.0,0.36405046536588487
EXTREME_TEMPORAL,294.8666666666667,123.0,7.6875
SCENE_CHANGE,294.8666666666667,0.0,0.46927151416122004
EXTREME_TEMPORAL,319.40000000000003,55.0,3.4375
EXTREME_TEMPORAL,325.8666666666667,54.0,3.375
EXTREME_TEMPORAL,328.1333333333333,54.0,3.375
EXTREME_TEMPORAL,335.2666666666667,49.0,3.0625
EXTREME_TEMPORAL,339.06666666666666,48.0,3.0
EXTREME_TEMPORAL,352.8666666666667,63.0,3.9375
EXTREME_TEMPORAL,355.3,71.0,4.4375
EXTREME_TEMPORAL,363.6,73.0,4.5625
EXTREME_TEMPORAL,369.6666666666667,74.0,4.625
EXTREME_TEMPORAL,371.6666666666667,69.0,4.3125
EXTREME_TEMPORAL,374.6,54.0,3.375
EXTREME_TEMPORAL,420.1,76.0,4.75
EXTREME_TEMPORAL,442.8,69.0,4.3125
EXTREME_TEMPORAL,447.73333333333335,52.0,3.25
EXTREME_TEMPORAL,449.8,51.0,3.1875
EXTREME_TEMPORAL,470.2666666666667,99.0,6.1875
SCENE_CHANGE,470.2666666666667,0.0,0.3804464228501858
EXTREME_TEMPORAL,477.1,51.0,3.1875
EXTREME_TEMPORAL,480.3,53.0,3.3125
EXTREME_TEMPORAL,488.8666666666667,48.0,3.0
EXTREME_TEMPORAL,523.0666666666667,75.0,4.6875
EXTREME_TEMPORAL,528.1,53.0,3.3125
EXTREME_TEMPORAL,535.8666666666667,57.0,3.5625
EXTREME_TEMPORAL,544.5333333333333,53.0,3.3125
EXTREME_TEMPORAL,546.3333333333334,51.0,3.1875
EXTREME_TEMPORAL,547.9,60.0,3.75
EXTREME_TEMPORAL,568.8666666666667,65.0,4.0625
EXTREME_TEMPORAL,573.0666666666667,58.0,3.625
EXTREME_TEMPORAL,575.4666666666667,68.0,4.25
EXTREME_TEMPORAL,579.2666666666667,58.0,3.625
EXTREME_TEMPORAL,584.6,78.0,4.875
EXTREME_TEMPORAL,607.9333333333334,117.0,7.3125
SCENE_CHANGE,607.9333333333334,0.0,0.4364712690631808
EXTREME_TEMPORAL,619.1,55.0,3.4375
EXTREME_TEMPORAL,621.0666666666667,53.0,3.3125
EXTREME_TEMPORAL,629.0,88.0,5.5
EXTREME_TEMPORAL,632.1333333333333,114.0,7.125
SCENE_CHANGE,632.1333333333333,0.0,0.42532479495066
EXTREME_TEMPORAL,633.8666666666667,60.0,3.75
EXTREME_TEMPORAL,638.8000000000001,75.0,4.6875
EXTREME_TEMPORAL,642.6,102.0,6.375
SCENE_CHANGE,642.6,0.0,0.41876706074586695
EXTREME_TEMPORAL,644.4666666666667,62.0,3.875
EXTREME_TEMPORAL,648.5333333333334,52.0,3.25
EXTREME_TEMPORAL,652.0,116.0,7.25
SCENE_CHANGE,652.0,0.0,0.42616541714725104
EXTREME_TEMPORAL,655.5333333333334,118.0,7.375
SCENE_CHANGE,655.5333333333334,0.0,0.43440325435729843
EXTREME_TEMPORAL,657.7333333333333,84.0,5.25
EXTREME_TEMPORAL,660.2666666666667,97.0,6.0625
SCENE_CHANGE,660.2666666666667,0.0,0.37007993720363963
EXTREME_TEMPORAL,663.1333333333333,77.0,4.8125
EXTREME_TEMPORAL,670.4,84.0,5.25
EXTREME_TEMPORAL,676.8000000000001,80.0,5.0
SCENE_CHANGE,676.8000000000001,0.0,0.35538941352684866
EXTREME_TEMPORAL,681.8666666666667,115.0,7.1875
SCENE_CHANGE,681.8666666666667,0.0,0.433817261790337
