segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,changed_pct,rtci,burst_score,tail_score,extreme_score,adim_sustained,adim_dynamic,adim_risk,spatial_adim,scene_activity,texture,spatial_score,temporal_score,v9_fusion,adci_temporal,adci_spatial,bdi,regime,class
0,0.0,5.0,1.0,1.0,1.0,106.34798431396484,126.04328536987305,13.378118699596772,0.5325,0.1,0.05,1.0,0.99999999965,0.015,0.08000000000000002,0.444287332385422,0.020075574228907513,1160.265026236144,0.33073614367408793,0.19841249994487498,0.4554947002996699,0.37924999987749997,0.444287332385422,0.22946938384557292,LOW-COMPLEXITY,Moderate
1,5.0,10.0,0.0,1.0,2.760000000000005,79.63922882080078,83.36767120361328,5.3364513888888885,0.14570000000000005,0.1,0.13800000000000026,1.0,0.08749999991249999,0.42999999999999994,0.6939375932474355,0.4032572747520282,0.00912985961328976,677.4617875895123,0.2576407778276173,0.49086910304885323,0.4459187869973059,0.3893062779436056,0.4032572747520282,0.39566828466197396,HEAVY-TAIL-RISK,Moderate
2,10.0,15.0,0.0,5.0,6.0,83.86959075927734,88.39898681640625,12.87501388888889,0.25,0.5,0.3,0.7666666666666667,0.069999999986,0.5,0.4715172352210968,0.38006078115937053,0.016715074482570806,1108.468794165582,0.22616197220995457,0.4198849973189721,0.39891471464220973,0.340955170561429,0.38006078115937053,0.35341352622307254,SPARSE-EXTREME,Moderate
3,15.0,20.0,0.0,5.0,6.0,84.6999282836914,86.66876831054688,10.335663194444443,0.22999999999999998,0.5,0.3,0.85,0.052499999989499994,0.5,0.366605504587156,0.4057713440644119,0.012772227532679738,1158.4800246164414,0.24950677234126173,0.3714921444937591,0.3845884337338361,0.3033566513724718,0.4057713440644119,0.337907327649444,SPARSE-EXTREME,Moderate
4,20.0,25.0,0.0,1.0,1.0,87.96638488769531,101.69570007324228,6.962979166666666,0.1325,0.1,0.05,0.1,0.08749999991249999,0.42999999999999994,0.06857142857142857,0.4487709476796332,0.013723559095860566,923.4590737669783,0.330414449904866,0.21883482141479016,0.3262679422240353,0.20169642854080352,0.4487709476796332,0.28499398209665133,LOW-COMPLEXITY,Moderate
5,25.0,30.0,1.0,2.0,3.0,75.5940933227539,88.01590728759766,12.407625,0.23916666666666667,0.2,0.15,0.1,0.4999999999125,0.24999999999999997,0.11294117647058827,0.34731660392207175,0.022737303513071898,413.03984338824915,0.20985934110983878,0.22975441175092462,0.3585328060554141,0.2963823529105514,0.34731660392207175,0.2230281781643846,BURST-DOMINATED,Moderate
6,30.0,35.0,1.0,1.0,1.0,96.08293914794922,99.03781280517578,14.909041666666669,0.5325,0.1,0.05,0.1,0.99999999965,0.015,0.08000000000000002,0.3908804178631569,0.021899915985838778,965.3031036429553,0.23365239418736872,0.19841249994487498,0.4501945387335672,0.37924999987749997,0.3908804178631569,0.19242418118464366,LOW-COMPLEXITY,Moderate
7,35.0,40.0,6.0,21.200000000000017,36.08000000000004,86.99560546875,100.72396697998047,37.664208333333335,0.2731856656765538,0.3533333333333336,0.30066666666666697,0.10532150776053203,0.2912735849005983,0.4070810357958876,0.1804035906766227,0.4088031938360341,0.06720024618736381,1444.9753829888223,0.281559492607562,0.2902366736529993,0.3769331062622513,0.29854519444675687,0.4088031938360341,0.2993363325870257,SPARSE-EXTREME,Moderate
8,40.0,45.0,1.0,1.0,2.0,98.35176086425781,103.22687072753907,9.549486111111111,0.29000000000000004,0.1,0.1,0.1,0.99999999965,0.015,0.12914357667366996,0.3827568663274903,0.021296836737472766,806.8357294210542,0.22812177473427003,0.21978995579792143,0.45592314631083175,0.39399307287960095,0.3827568663274903,0.20106630849510407,LOW-COMPLEXITY,Moderate
9,45.0,50.0,1.0,2.0,3.0,99.8666000366211,118.97185821533203,15.57053125,0.2891666666666667,0.2,0.15,0.1,0.456249999934375,0.23666666666666666,0.23214039953366336,0.44009769669875803,0.02467841040305011,864.9386640492545,0.33102297023764016,0.2692821154534743,0.4054852570982912,0.31216295317046355,0.44009769669875803,0.29139462752524864,BURST-DOMINATED,Moderate
10,50.0,55.0,1.0,2.0,5.0,96.6610107421875,110.96252746582032,20.941520833333332,0.23750000000000004,0.2,0.25,0.1,0.543749999890625,0.162,0.4093874773452743,0.4184865998054206,0.0309998587962963,779.1290876425229,0.2986418528256404,0.3297391776279678,0.447274278707254,0.369828743165301,0.4184865998054206,0.3031533956107951,SPARSE-EXTREME,Moderate
11,55.0,60.0,1.0,1.0,1.0,84.36874389648438,90.54719390869141,14.642354166666665,0.5325,0.1,0.05,0.1,0.99999999965,0.015,0.08000000000000002,0.3826168006245835,0.024257591639433553,492.84615520411063,0.2331976908476434,0.19841249994487498,0.4435605403851013,0.37924999987749997,0.3826168006245835,0.1919408344024613,LOW-COMPLEXITY,Moderate
12,60.0,65.0,1.0,2.0,5.800000000000026,80.49359130859375,95.54416351318359,14.377777777777778,0.17970689655172392,0.2,0.29000000000000126,0.12068965517241326,0.4999999999125,0.24999999999999997,0.14047331093458976,0.407403065361884,0.023733182053376913,486.05104076132267,0.28426808896483885,0.24173089024276528,0.38512567178776547,0.3046419932497519,0.407403065361884,0.2586482599078548,SPARSE-EXTREME,Moderate
13,65.0,70.0,1.0,1.0,1.0,94.11078643798828,96.80575408935547,15.254625000000003,0.5325,0.1,0.05,0.1,0.99999999965,0.235,0.08000000000000002,0.41221463508511436,0.02401646309912854,732.4186266097387,0.2654202665628174,0.288062499944875,0.48409958379407103,0.4562499998775,0.41221463508511436,0.269841328838055,LOW-COMPLEXITY,Moderate
14,70.0,75.0,1.0,1.0,2.0,71.59152221679688,85.40536651611328,6.880677083333335,0.39,0.1,0.1,0.1,0.9124999997375001,0.2583333333333333,0.2572380651861217,0.3436968674909409,0.013086831699346407,423.4136930267305,0.2126183669074717,0.3608881416479525,0.4667976221498355,0.48696308613062816,0.3436968674909409,0.2869331774446946,LOW-COMPLEXITY,Moderate
15,75.0,80.0,0.0,1.0,1.0,81.04811096191406,84.0572738647461,5.162163194444444,0.1325,0.1,0.05,0.1,0.08749999991249999,0.42999999999999994,0.06857142857142857,0.41076146987577017,0.010145661900871461,592.3783159537278,0.26698235162954315,0.21883482141479016,0.32358112367326186,0.20169642854080352,0.41076146987577017,0.261839915917185,LOW-COMPLEXITY,Moderate
16,80.0,85.0,1.0,1.0,1.0,68.87834167480469,72.04942779541015,7.953902777777779,0.5325,0.1,0.05,0.1,0.99999999965,0.015,0.08000000000000002,0.39947885254755766,0.017336582924836606,308.57837909270296,0.24960538597338466,0.19841249994487498,0.44012188901840044,0.37924999987749997,0.39947885254755766,0.19472564100624307,LOW-COMPLEXITY,Moderate
17,85.0,90.0,1.0,1.0,1.0,87.01081848144531,98.0920654296875,13.248079861111112,0.5325,0.1,0.05,0.1,0.99999999965,0.015,0.08000000000000002,0.3609145033967571,0.021197898556644876,692.0101549763331,0.2182375043648894,0.19841249994487498,0.4335391926468031,0.37924999987749997,0.3609145033967571,0.18637884375963648,LOW-COMPLEXITY,Moderate
18,90.0,95.0,1.0,5.0,9.760000000000005,93.4336929321289,96.27567291259766,24.247434027777786,0.3094295081967213,0.5,0.48800000000000027,0.5122950819672129,0.2524999999755,0.38499999999999995,0.47028765862495836,0.405835354439402,0.03931789052287581,652.5824054888886,0.2561880402247453,0.4012313814979981,0.43189657412958893,0.36421129757891246,0.405835354439402,0.34459213124162197,SPARSE-EXTREME,Moderate
19,95.0,100.0,2.0,2.0,9.0,105.09017944335938,118.98528594970703,19.777750000000005,0.21986111111111112,0.1,0.225,0.1,0.956249999846875,0.20500000000000002,0.5292166743732379,0.4240149609459396,0.0367385642701525,1136.142617366129,0.2972043382234542,0.4643561283282413,0.5584075904122655,0.5652025022583775,0.4240149609459396,0.36867358667552086,SPARSE-EXTREME,High
20,100.0,105.0,1.0,2.6000000000000085,9.0,60.76579666137695,67.7747787475586,11.867986111111112,0.18805555555555575,0.26000000000000084,0.45,0.1,0.3846153845636082,0.3010000000000007,0.16474752270366133,0.37721135636116243,0.024619645288671024,235.19460613128783,0.23724079950925228,0.25489959544486124,0.35500377207610984,0.2893896414083615,0.37721135636116243,0.24853100929652336,SPARSE-EXTREME,Moderate
